symbol,name,country,finnhubIndustry,marketCapitalization,ipo,exchange,mic_code,security_type,shareOutstanding,currency,company_peers,logo,weburl,phone,figi_identifier,update_date
AAPL,Apple Inc,US,Technology,2351378.906992,1980-12-12,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,15908.1,USD,AAPL - DELL - HPQ - 1337.HK - HPE - NTAP - WDC - PSTG - SMCI - XRX,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAPL.svg,https://www.apple.com/,14089961010.0,BBG000B9XRY4,2022-12-05
AMC,AMC Entertainment Holdings Inc,US,Media,4264.648728999999,2013-12-18,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,521.9892059500002,USD,WMG - LYV - EDR - ROKU - WWE - AMC - MSGS - MSGE - LGF.A - CNK - DIS,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMC.svg,https://investor.amctheatres.com/,19132132000.0,BBG000TDCVT6,2022-12-05
AMD,Advanced Micro Devices Inc,US,Semiconductors,120894.46422399998,1979-10-15,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,1612.36,USD,NVDA - AVGO - TXN - QCOM - INTC - AMD - ADI - MU - MRVL - XLNX,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMD.svg,https://www.amd.com/en,14087494000.0,BBG000BBQCY0,2022-12-05
AMZN,Amazon.com Inc,US,Retail,960281.690945,1997-05-15,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,10201.7,USD,AMZN - CPNG - EBAY - DASH - CHWY - ETSY - W - XMTR - RVLV - SEAT,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMZN.svg,https://www.amazon.com/,12062661000.0,BBG000BVPV84,2022-12-05
BAC,Bank of America Corp,US,Banking,289449.3659,1979-06-05,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,8022.43,USD,JPM - BAC - WFC - C - USB - FINN - CIBH - HFBA - HABK,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BAC.svg,https://www.bankofamerica.com,17043868486.0,BBG000BCTLF6,2022-12-05
CMCSA,Comcast Corp,US,Media,155037.439713,1972-06-29,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,4323.404375,USD,CMCSA - CHTR - FWONA - SIRI - LBRDA - DISH - CABO - ATUS - WOW - TVTV,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CMCSA.svg,https://corporate.comcast.com/,12152861700.0,BBG000BFT2L4,2022-12-05
CRM,Salesforce Inc,US,Technology,144559.997559,2004-06-23,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,1000.0,USD,CTXS - ADBE - CRM - INTU - AZPN - SNPS - CDNS - ROP - WDAY - ADSK,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CRM.svg,https://www.salesforce.com/,14159017000.0,BBG000BN2DC2,2022-12-05
CVX,Chevron Corp,US,Energy ,350046.584311,1921-06-24,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,1933.64,USD,XOM - CVX - OXY - UNTC,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/CVX.svg,https://www.chevron.com/,19258421000.0,BBG000K4ND22,2022-12-05
DG,Dollar General Corp,US,Retail,54543.309364,2009-11-13,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,223.575,USD,TGT - DG - DLTR - OLLI - FRG - BIG - TUEM,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DG.svg,https://www.dollargeneral.com/,16158554000.0,BBG000NV1KK7,2022-12-05
DISH,DISH Network Corp,US,Media,8257.788758,1995-06-21,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,530.706208,USD,CMCSA - CHTR - FWONA - SIRI - LBRDA - DISH - CABO - ATUS - WOW - TVTV,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/DISH.svg,https://ir.dish.com/,13037231000.0,BBG000C2YHG9,2022-12-05
EA,Electronic Arts Inc,US,Media,36519.892582,1989-01-09,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,276.08,USD,ATVI - EA - RBLX - TTWO - ZNGA - SCPL - HUG.WA - MYPS - SKLZ - DEVO.L,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EA.svg,https://www.ea.com/,16506281500.0,BBG000BP0KQ8,2022-12-05
EFX,Equifax Inc,US,Professional Services,24657.658135999995,1971-05-11,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,122.443,USD,950140.KQ - CSGP - VRSK - EFX - J - J - LDOS - BAH - TRU - NLSN,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/EFX.svg,https://www.equifax.com/,14048858000.0,BBG000BHPL78,2022-12-05
F,Ford Motor Co,US,Automobiles,55726.097985,1956-03-07,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,4020.64,USD,TSLA - GM - F - RIVN - LCID - THO - FSR - WGO - GOEV - WKHS,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/F.svg,https://www.ford.com/,13133223000.0,BBG000BQPC32,2022-12-05
GME,GameStop Corp,US,Retail,8380.658147,2002-02-12,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,304.53,USD,BBY - GME - RCII - CONN - ENJYQ - CCTL - SIMPQ - HGGGQ - SFIV,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GME.svg,https://news.gamestop.com/,18174242000.0,BBG000BB5BF6,2022-12-05
GOOGL,Alphabet Inc,US,Media,1302368.4878849995,2004-08-19,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,12943.0,USD,GOOGL - META - TWTR - SNAP - PINS - MTCH - ZI - IAC - BMBL - ZD,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOG.svg,https://abc.xyz/,16502530000.0,BBG009S3NB30,2022-12-05
HD,Home Depot Inc,US,Retail,334282.797699,1984-04-19,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,1019.19,USD,HD - LOW - FND - GRWG - LL - TTSH,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/HD.svg,https://www.homedepot.com/,17704338211.0,BBG000BKZB36,2022-12-05
INTC,Intel Corp,US,Semiconductors,121375.06937,1971-10-13,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,4127.0,USD,NVDA - AVGO - TXN - QCOM - INTC - AMD - ADI - MU - MRVL - XLNX,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/INTC.svg,https://www.intel.com/,14087658080.0,BBG000C0G1D1,2022-12-05
JNJ,Johnson & Johnson,US,Pharmaceuticals,467678.803079,1944-09-25,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,2614.48,USD,JNJ - LLY - PFE - MRK - BMY - ZTS - RPRX - VTRS - CTLT - OGN,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/JNJ.svg,https://www.jnj.com/,17325242455.0,BBG000BMHYD1,2022-12-05
KO,Coca-Cola Co,US,Beverages,278282.448186,1950-01-26,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,4324.51,USD,KO - PEP - KDP - MNST - CELH - COKE - FIZZ - PRMW.TO - COCO - ZVIA,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/KO.svg,https://www.coca-colacompany.com/,14046762121.0,BBG000BMX289,2022-12-05
LLY,Eli Lilly and Co,US,Pharmaceuticals,356088.662761,1970-07-09,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,950.178,USD,JNJ - LLY - PFE - MRK - BMY - ZTS - RPRX - VTRS - CTLT - OGN,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/LLY.svg,https://www.lilly.com/,13172762000.0,BBG000BNBDC2,2022-12-05
MA,Mastercard Inc,US,Technology,346183.203717,2006-05-25,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,961.459734,USD,V - MA - ADP - PYPL - FISV - PAYX - FIS - SQ - GPN - BR,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MA.svg,https://investor.mastercard.com/investor-relations/default.aspx,19142492000.0,BBG000F1ZSQ2,2022-12-05
META,Meta Platforms Inc,US,Media,327455.014477,2012-05-18,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,2651.67,USD,GOOGL - META - TWTR - SNAP - PINS - MTCH - ZI - IAC - BMBL - ZD,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FB.svg,https://www.facebook.com,16506187714.0,BBG000MM2P62,2022-12-05
MRK,Merck & Co Inc,US,Pharmaceuticals,278994.977731,1941-01-01,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,2535.4,USD,JNJ - LLY - PFE - MRK - BMY - ZTS - RPRX - VTRS - CTLT - OGN,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MRK.svg,https://www.merck.com/,19087404000.0,BBG000BPD168,2022-12-05
MSFT,Microsoft Corp,US,Technology,1901039.773167,1986-03-13,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,7454.47,USD,MSFT - ORCL - NOW - PANW - VMW - FTNT - CRWD - ZS - GEN - MCFE,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MSFT.svg,https://www.microsoft.com/en-us,14258828080.0,BBG000BPH459,2022-12-05
NFLX,Netflix Inc,US,Media,142589.022538,2002-05-23,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,445.021,USD,DIS - NFLX - WBD - WMG - LYV - EDR - ROKU - WWE - AMC - MSGS,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NFLX.svg,https://www.netflix.com/,14085403700.0,BBG000CL9VN6,2022-12-05
NVDA,NVIDIA Corp,US,Semiconductors,415149.586487,1999-01-22,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,2460.0,USD,NVDA - AVGO - TXN - QCOM - INTC - AMD - ADI - MU - MRVL - XLNX,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NVDA.svg,https://www.nvidia.com/,14084862000.0,BBG000BBJQV0,2022-12-05
PEP,PepsiCo Inc,US,Beverages,255826.83000700004,1919-12-18,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,1377.71,USD,KO - PEP - KDP - MNST - CELH - COKE - FIZZ - PRMW.TO - COCO - ZVIA,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PEP.svg,https://www.pepsico.com/,19142532000.0,BBG000DH7JK6,2022-12-05
PFE,Pfizer Inc,US,Pharmaceuticals,285773.837952,1944-01-17,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,5613.31,USD,JNJ - LLY - PFE - MRK - BMY - ZTS - RPRX - VTRS - CTLT - OGN,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PFE.svg,https://www.pfizer.com/,12125732323.0,BBG000BR2B91,2022-12-05
PG,Procter & Gamble Co,US,Consumer products,356900.033082,1950-03-22,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,2369.7,USD,PG - CL - KMB - CHD - CLX - REYN - SPB - ENR - WDFC - CENT,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PG.svg,https://us.pg.com/,15139831100.0,BBG000BR2TH3,2022-12-05
SAVE,Spirit Airlines Inc,US,Airlines,2317.569089,2011-05-26,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,108.857,USD,AAL - ALK - ULCC - JBLU - JOBY - SAVE - ALGT - SNCY - SKYW - HA - LUV,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/SAVE.svg,https://www.spirit.com/,19544477920.0,BBG000BF6RQ9,2022-12-05
SIRI,Sirius XM Holdings Inc,US,Media,24270.712196,1968-01-16,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,3889.54,USD,CMCSA - CHTR - FWONA - SIRI - LBRDA - DISH - CABO - ATUS - WOW - TVTV,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/SIRI.svg,https://www.siriusxm.com/corporate,12125845100.0,BBG000BT0093,2022-12-05
T,AT&T Inc,US,Telecommunication,135555.54326199996,1983-11-21,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,7127.0,USD,VZ - T - FYBR - RADI - ATNI - IDT - CNSL - LICT - OOMA - HWTR,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/T.svg,https://www.att.com/,12108214105.0,BBG000BSJK37,2022-12-05
TLSA,Tiziana Life Sciences Ltd,GB,Biotechnology,64.943109,2008-07-14,NASDAQ NMS - GLOBAL MARKET,XNAS,Common Stock,194.612,USD,MREO - VACC - 4BB.L - AREC.L - ACHL - TLSA - ORTX - APTA.L - DNL.L - NCNA - ABC.L,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/TLSA.svg,,442074952379.0,BBG0129Q42X2,2022-12-05
UBER,Uber Technologies Inc,US,Road & Rail,57339.211273,2019-05-10,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,1994.41,USD,UBER - ODFL - JBHT - UHAL - KNX - CAR - SAIA - LSTR - HTZ - SNDR,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/UBER.svg,https://www.uber.com,14156128582.0,BBG002B04MT8,2022-12-05
UNH,UnitedHealth Group Inc,US,Health Care,500960.566949,1984-10-17,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,934.349,USD,UNH - ELV - HUM - CNC - MOH - HQY - PGNY - ALHC - CLOV - PFHO,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/UNH.svg,https://www.unitedhealthgroup.com/,19529361300.0,BBG000CH5208,2022-12-05
V,Visa Inc,US,Technology,448746.894076,2008-03-25,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,2061.6883649715,USD,V - MA - ADP - PYPL - FISV - PAYX - FIS - SQ - GPN - BR,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/V.svg,https://usa.visa.com/,16504323200.0,BBG000PSKYX7,2022-12-05
VZ,Verizon Communications Inc,US,Telecommunication,160349.028957,1984-02-15,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,4199.819999999999,USD,VZ - T - FYBR - RADI - ATNI - IDT - CNSL - LICT - OOMA - HWTR,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/VZ.svg,https://www.verizon.com/,12123951000.0,BBG000HS77T5,2022-12-05
WFC,Wells Fargo & Co,US,Banking,175053.949782,1962-12-10,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,3810.49,USD,JPM - BAC - WFC - C - USB - FINN - CIBH - HFBA - HABK,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/WFC.svg,https://www.wellsfargo.com/,16126671234.0,BBG000BWQFY7,2022-12-05
XOM,Exxon Mobil Corp,US,Energy ,452435.7217030001,1980-03-17,"NEW YORK STOCK EXCHANGE, INC.",XNYS,Common Stock,4118.29,USD,XOM - CVX - OXY - UNTC,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/XOM.svg,https://corporate.exxonmobil.com/,19724441000.0,BBG000GZQ728,2022-12-05
